"article_id","article_version","last_updated","icd10_pcs_code_group","paragraph"
"54191","27","2023-11-08 18:44:30.040000000","1",""
"54192","22","2024-05-29 21:01:59.010000000","1",""
"54194","23","2023-11-14 18:27:57.620000000","1",""
"54195","22","2023-11-15 12:11:05.687000000","1",""
"54196","20","2023-11-15 12:12:26.513000000","1",""
"54257","14","2023-11-08 16:53:27.500000000","1",""
"54269","14","2023-11-14 18:04:43.317000000","1",""
"54270","16","2023-11-14 18:06:31.857000000","1",""
"54283","15","2023-11-15 12:26:18.487000000","1",""
"54295","27","2023-11-10 16:31:05.127000000","1",""
"54300","16","2023-11-07 15:46:52.153000000","1",""
"54327","7","2023-11-07 15:11:38.770000000","1",""
"54338","55","2025-08-29 17:41:30.190000000","1",""
"54386","37","2024-08-29 12:08:32.907000000","1","<p>N/A</p>"
"54388","33","2024-08-29 12:09:34.903000000","1","<p>N/A</p>"
"54418","27","2023-11-22 15:31:11.230000000","1","<p>N/A</p>"
"54420","26","2023-11-22 15:31:33.297000000","1","<p>N/A</p>"
"54422","20","2024-05-24 11:58:39.250000000","1","<p>N/A</p>"
"54424","19","2024-05-24 11:59:25.347000000","1","<p>N/A<br data-mce-bogus=""1""></p>"
"54445","26","2023-11-22 16:55:45.027000000","1","<p>N/A</p>"
"54447","25","2025-09-18 20:33:55.840000000","1","<p>N/A</p>"
"54472","30","2023-02-20 19:12:21.977000000","1",""
"54480","15","2025-09-22 13:50:29.260000000","1",""
"54482","15","2025-09-22 13:52:42.593000000","1",""
"54484","12","2025-09-18 20:04:08.467000000","1",""
"54486","12","2025-09-18 20:06:42.477000000","1",""
"54498","23","2023-11-22 15:32:47.737000000","1","<p>N/A</p>"
"54500","23","2025-09-19 14:11:02.680000000","1","<p>N/A</p>"
"54516","45","2025-03-26 18:42:27.167000000","1",""
"54543","21","2025-09-22 11:56:22.920000000","1",""
"54548","35","2025-09-17 14:15:48.320000000","1",""
"54555","18","2024-01-12 16:25:49.560000000","1",""
"54559","12","2021-08-30 15:52:16.347000000","1",""
"54563","54","2024-11-25 13:05:37.657000000","1",""
"54602","24","2025-12-22 16:31:51.870000000","1",""
"54610","3","2023-11-07 12:31:09.633000000","1",""
"54611","5","2023-11-07 12:27:57.420000000","1",""
"54612","4","2023-11-15 17:57:45.830000000","1",""
"54613","3","2023-11-07 12:27:00.820000000","1",""
"54635","31","2023-11-08 19:11:27.427000000","1",""
"54641","13","2023-11-17 12:43:00.367000000","1",""
"54643","13","2023-11-17 12:44:31.623000000","1",""
"54660","13","2023-11-17 12:42:28.030000000","1",""
"54662","13","2023-11-17 12:44:01.830000000","1",""
"54682","34","2024-01-25 15:14:26.247000000","1",""
"54685","17","2023-11-08 15:22:47.923000000","1",""
"54686","22","2024-09-14 23:02:26.880000000","1",""
"54688","23","2023-11-08 18:48:22.273000000","1",""
"54689","32","2023-11-07 18:21:11.073000000","1",""
"54767","66","2025-08-25 15:18:51.300000000","1",""
"54768","38","2025-08-14 14:11:36.627000000","1",""
"54769","27","2022-01-18 13:00:18.330000000","1",""
"54795","42","2024-03-15 10:14:22.883000000","1","<p>N/A</p>"
"54799","62","2025-11-24 13:23:32.177000000","1",""
"54830","9","2024-04-05 20:59:32.543000000","1",""
"54831","28","2023-08-24 15:36:23.583000000","1",""
"54832","14","2024-03-28 13:08:54.873000000","1",""
"54880","10","2025-06-05 17:08:18.787000000","1",""
"54901","27","2024-03-15 17:01:26.100000000","1",""
"54909","24","2023-09-22 19:02:46.940000000","1",""
"54919","22","2025-06-23 20:12:18.457000000","1",""
"54923","45","2026-01-22 14:31:43.340000000","1",""
"54926","25","2025-05-09 14:50:07.673000000","1",""
"54929","40","2025-09-18 16:52:51.320000000","1",""
"54953","68","2026-01-08 14:50:00.747000000","1",""
"54954","28","2023-01-20 14:21:01.950000000","1",""
"54958","28","2025-12-24 18:28:57.357000000","1",""
"54961","20","2025-03-18 17:18:10.963000000","1",""
"54969","52","2025-09-22 11:54:20.783000000","1",""
"54975","16","2023-11-22 15:12:08.723000000","1","<p>N/A</p>"
"54976","15","2023-11-22 15:12:32.290000000","1","<p>N/A</p>"
