article_id,article_version,related_num,r_ncd_id,r_ncd_version,last_updated
52527,83,1,0,1,2025-04-29 23:04:20.480000000
52527,84,1,0,1,2025-04-29 23:04:20.480000000
52527,85,1,0,1,2025-04-29 23:04:20.480000000
52527,89,1,0,1,2025-04-29 23:04:20.480000000
52535,12,1,0,1,2025-04-29 23:04:20.483000000
52535,13,1,0,1,2025-04-29 23:04:20.483000000
52537,11,1,0,1,2025-04-29 23:04:20.483000000
52571,121,1,0,1,2025-04-29 23:04:15.450000000
52571,126,1,0,1,2025-04-29 23:04:15.453000000
52571,130,1,0,1,2025-04-29 23:04:15.460000000
52571,133,1,0,1,2025-04-29 23:04:15.460000000
52571,136,1,0,1,2025-04-29 23:04:15.460000000
52571,139,1,0,1,2025-04-29 23:04:15.460000000
52711,22,1,0,1,2025-04-29 23:04:19.633000000
52712,25,1,0,1,2025-04-29 23:04:19.637000000
52713,18,1,0,1,2025-04-29 23:04:19.637000000
52725,31,1,11,1,2025-04-29 23:04:17.313000000
52725,31,2,135,1,2025-04-29 23:04:17.313000000
52725,31,3,15,1,2025-04-29 23:04:17.317000000
52725,36,1,11,1,2025-04-29 23:04:17.313000000
52725,36,2,135,1,2025-04-29 23:04:17.313000000
52725,36,3,15,1,2025-04-29 23:04:17.317000000
52732,24,1,0,1,2025-04-29 23:04:17.317000000
52732,25,1,0,1,2025-04-29 23:04:17.317000000
52754,6,1,0,1,2025-04-29 23:04:17.320000000
52754,7,1,0,1,2025-04-29 23:04:17.320000000
52755,13,1,0,1,2025-04-29 23:04:17.320000000
52755,14,1,0,1,2025-04-29 23:04:17.320000000
52759,6,1,0,1,2025-04-29 23:04:17.320000000
52767,13,1,0,1,2025-04-29 23:04:17.320000000
52767,14,1,0,1,2025-04-29 23:04:17.320000000
52770,28,1,320,1,2025-04-29 23:04:17.323000000
52770,29,1,320,1,2025-04-29 23:04:17.323000000
52772,8,1,0,1,2025-04-29 23:04:17.323000000
52773,17,1,0,1,2025-04-29 23:04:17.327000000
52775,17,1,0,1,2025-04-29 23:04:17.330000000
52775,18,1,0,1,2025-04-29 23:04:17.330000000
52776,13,1,0,1,2025-04-29 23:04:17.330000000
52800,87,1,0,1,2025-04-29 23:04:20.733000000
52800,89,1,0,1,2025-04-29 23:04:20.737000000
52800,92,1,0,1,2025-04-29 23:04:20.737000000
52800,94,1,0,1,2025-04-29 23:04:20.737000000
52825,11,1,0,1,2025-04-29 23:04:20.310000000
52830,7,1,0,1,2025-04-29 23:04:19.207000000
52837,20,1,0,1,2025-04-29 23:04:20.267000000
52840,2,1,1,1,2025-04-29 23:04:20.273000000
52841,3,1,0,1,2025-04-29 23:04:20.283000000
52842,17,1,0,1,2025-04-29 23:04:20.290000000
52845,7,1,0,1,2025-04-29 23:04:20.277000000
52848,37,1,0,1,2025-04-29 23:04:18.760000000
52848,38,1,0,1,2025-04-29 23:04:18.760000000
52848,41,1,0,1,2025-04-29 23:04:18.760000000
52849,35,1,186,1,2025-04-29 23:04:18.763000000
52849,35,2,177,1,2025-04-29 23:04:18.767000000
52849,35,3,263,1,2025-04-29 23:04:18.773000000
52849,35,4,272,1,2025-04-29 23:04:18.777000000
52850,50,1,62,1,2025-04-29 23:04:18.787000000
52850,52,1,62,1,2025-04-29 23:04:18.787000000
52850,55,1,62,1,2025-04-29 23:04:18.787000000
52855,30,1,158,1,2025-04-29 23:04:18.920000000
52863,55,1,0,1,2025-04-29 23:04:19.850000000
52863,58,1,0,1,2025-04-29 23:04:19.850000000
52866,34,1,89,1,2025-04-29 23:04:20.080000000
52866,34,2,192,1,2025-04-29 23:04:20.087000000
52866,34,3,274,1,2025-04-29 23:04:20.090000000
52866,34,4,237,1,2025-04-29 23:04:20.093000000
52868,45,1,263,1,2025-04-29 23:04:20.163000000
52870,37,1,0,1,2025-04-29 23:04:20.193000000
52917,4,1,0,1,2025-04-29 23:04:17.330000000
52918,5,1,0,1,2025-04-29 23:04:17.333000000
52926,9,1,344,1,2018-10-16 21:51:03.283000000
52926,11,1,344,1,2018-10-16 21:51:03.283000000
52926,13,1,344,1,2025-04-29 23:04:17.333000000
52926,14,1,344,1,2025-04-29 23:04:17.333000000
52959,13,1,0,1,2025-04-29 23:04:17.337000000
52959,14,1,0,1,2025-04-29 23:04:17.337000000
52959,15,1,0,1,2025-04-29 23:04:17.337000000
52960,14,1,0,1,2025-04-29 23:04:17.337000000
52960,15,1,0,1,2025-04-29 23:04:17.337000000
52986,228,1,372,1,2025-04-29 23:04:16.580000000
52986,237,1,372,2,2023-08-31 19:56:09.250000000
52986,242,1,372,2,2023-08-31 19:56:09.250000000
52992,27,1,0,1,2025-04-29 23:04:16.603000000
52992,30,1,0,1,2025-04-29 23:04:16.607000000
52993,54,1,0,1,2025-04-29 23:04:16.607000000
52996,26,1,0,1,2025-04-29 23:04:16.610000000
52996,31,1,0,1,2025-04-29 23:04:16.610000000
52998,47,1,0,1,2025-04-29 23:04:16.610000000
52998,50,1,0,1,2025-04-29 23:04:16.610000000
53001,42,1,0,1,2025-04-29 23:04:16.613000000
53001,45,1,0,1,2025-04-29 23:04:16.613000000
53006,14,1,0,1,2025-04-29 23:04:17.930000000
53008,53,1,0,1,2025-04-29 23:04:17.337000000
53008,55,1,0,1,2025-04-29 23:04:17.337000000
53008,56,1,0,1,2025-04-29 23:04:17.337000000
53009,51,1,0,1,2025-04-29 23:04:17.340000000
53009,53,1,0,1,2025-04-29 23:04:17.340000000
53009,54,1,0,1,2025-04-29 23:04:17.340000000
53017,36,1,249,1,2025-04-29 23:04:17.340000000
53017,37,1,249,1,2025-04-29 23:04:17.340000000
53018,13,1,0,1,2025-04-29 23:04:20.140000000
53019,11,1,0,1,2025-04-29 23:04:20.303000000
53019,14,1,0,1,2025-04-29 23:04:20.303000000
53020,2,1,0,1,2025-04-29 23:04:20.310000000
53021,115,1,0,1,2025-04-29 23:04:20.480000000
53021,119,1,0,1,2025-04-30 16:34:55.170000000
53021,126,1,0,1,2025-04-30 16:34:55.170000000
53021,128,1,0,1,2025-04-30 16:34:55.170000000
53021,132,1,0,1,2025-04-30 16:34:55.170000000
53022,104,1,0,1,2025-04-29 23:04:20.483000000
53022,108,1,0,1,2025-04-30 16:36:20.783000000
53022,109,1,0,1,2025-04-30 16:36:20.783000000
53024,21,1,0,1,2025-04-29 23:04:17.340000000
53024,22,1,0,1,2025-04-29 23:04:17.340000000
53026,59,1,57,1,2025-04-29 23:04:17.343000000
53026,61,1,57,3,2015-10-02 17:44:41.300000000
53026,62,1,57,3,2015-10-02 17:44:41.300000000
