lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
33405,25,1,226,1,2025-04-29 23:04:16.650000000
33405,25,2,330,1,2025-04-29 23:04:16.653000000
33411,29,1,57,1,2025-04-29 23:04:16.653000000
33417,40,1,266,1,2025-04-29 23:04:23.353000000
33417,40,2,187,1,2025-04-29 23:04:23.357000000
33417,40,3,161,1,2025-04-29 23:04:23.357000000
33417,40,4,155,1,2025-04-29 23:04:23.360000000
33420,41,1,0,1,2025-04-29 23:04:23.387000000
33422,44,1,0,1,2025-04-29 23:04:23.397000000
33423,51,1,176,2,2025-01-15 14:49:22.497000000
33423,55,1,176,1,2025-04-29 23:04:23.397000000
33423,58,1,176,1,2025-04-29 23:04:23.397000000
33428,53,1,64,1,2025-04-29 23:04:23.400000000
33428,53,2,14,1,2025-04-29 23:04:23.407000000
33428,53,3,338,1,2025-04-29 23:04:23.407000000
33431,54,1,100,1,2025-04-29 23:04:23.413000000
33431,59,1,100,1,2025-04-29 23:04:23.420000000
33436,38,1,0,1,2025-04-29 23:04:23.420000000
33438,47,1,0,1,2025-04-29 23:04:23.420000000
33444,42,1,17,1,2025-04-29 23:04:23.423000000
33445,71,1,129,1,2025-04-29 23:04:23.427000000
33445,79,1,129,1,2025-04-29 23:04:23.427000000
33446,47,1,0,1,2025-04-29 23:04:23.430000000
33447,48,1,0,1,2025-04-29 23:04:23.430000000
33449,36,1,192,1,2025-04-29 23:04:23.437000000
33455,31,1,0,1,2025-04-29 23:04:23.443000000
33456,71,1,0,1,2025-04-29 23:04:23.453000000
33457,61,1,271,1,2025-04-29 23:04:23.460000000
33457,61,2,292,1,2025-04-29 23:04:23.463000000
33458,69,1,19,1,2025-04-29 23:04:23.477000000
33459,43,1,176,1,2025-04-29 23:04:23.480000000
33461,64,1,223,1,2025-04-29 23:04:23.487000000
33467,49,1,56,1,2025-04-29 23:04:23.490000000
33557,45,1,62,1,2025-04-29 23:04:22.880000000
33557,47,1,62,1,2025-04-29 23:04:22.880000000
33558,32,1,213,1,2025-04-29 23:04:22.890000000
33558,32,2,9,1,2025-04-29 23:04:22.893000000
33558,32,3,60,1,2025-04-29 23:04:22.900000000
33558,32,4,239,1,2025-04-29 23:04:22.903000000
33559,28,1,176,1,2025-04-29 23:04:22.880000000
33560,35,1,0,1,2025-04-29 23:04:22.887000000
33563,26,1,0,1,2025-04-29 23:04:23.243000000
33567,27,1,56,1,2025-04-29 23:04:23.537000000
33567,27,2,213,1,2025-04-29 23:04:23.540000000
33567,27,3,60,1,2025-04-29 23:04:23.540000000
33569,28,1,0,1,2025-04-29 23:04:23.567000000
33569,31,1,0,1,2025-04-29 23:04:23.567000000
33573,24,1,0,1,2025-04-29 23:04:22.877000000
33574,37,1,261,1,2025-04-29 23:04:23.760000000
33575,43,1,0,1,2025-04-29 23:04:23.760000000
33576,23,1,202,1,2025-04-29 23:04:23.757000000
33577,43,1,263,1,2025-04-29 23:04:23.750000000
33578,17,1,263,1,2025-04-29 23:04:23.747000000
33579,38,1,263,1,2025-04-29 23:04:23.747000000
33580,40,1,89,1,2025-04-29 23:04:23.657000000
33580,40,2,192,1,2025-04-29 23:04:23.660000000
33580,40,3,274,1,2025-04-29 23:04:23.660000000
33580,40,4,237,1,2025-04-29 23:04:23.660000000
33583,21,1,81,1,2025-04-29 23:04:16.657000000
33583,21,2,108,1,2025-04-29 23:04:16.657000000
33585,33,1,186,1,2025-04-29 23:04:22.860000000
33585,33,2,177,1,2025-04-29 23:04:22.863000000
33585,33,3,263,1,2025-04-29 23:04:22.870000000
33585,33,4,272,1,2025-04-29 23:04:22.870000000
33591,18,1,266,1,2025-04-29 23:04:23.597000000
